wals code,name,value,description,latitude,longitude,genus,family,area
xoo,!Xóõ,2,Different,-24,21.5,Tu,Tu,Lexicon
arx,'Are'are,2,Different,-9.25,161.1666667,Oceanic,Austronesian,Lexicon
abw,Abenaki (Western),2,Different,44,-72.25,Algonquian,Algic,Lexicon
abi,Abipón,2,Different,-29,-61,Abipon,Guaicuruan,Lexicon
abk,Abkhaz,2,Different,43.08333333,41,Northwest Caucasian,Northwest Caucasian,Lexicon
acg,Achagua,2,Different,4.416666667,-72.25,Japura-Colombia,Arawakan,Lexicon
acu,Achuar,2,Different,-2.66667,-76,Jivaroan,Jivaroan,Lexicon
acm,Achumawi,2,Different,41.5,-121,Achumawi,Hokan,Lexicon
afr,Afrikaans,2,Different,-31,22,Germanic,Indo-European,Lexicon
agr,Aguaruna,2,Different,-5,-78,Jivaroan,Jivaroan,Lexicon
aht,Ahtna,2,Different,62,-145,Athapaskan,Na-Dene,Lexicon
abm,Alabama,2,Different,32.33333333,-87.41666667,Muskogean,Muskogean,Lexicon
ale,Aleut,2,Different,54,-166,Aleut,Eskimo-Aleut,Lexicon
alg,Algonquin,2,Different,46,-77,Algonquian,Algic,Lexicon
atq,Alutiiq,2,Different,57,-157,Eskimo,Eskimo-Aleut,Lexicon
aly,Alyawarra,1,Identical,-22.5,135,Central Pama-Nyungan,Pama-Nyungan,Lexicon
amc,Amahuaca,1,Identical,-10.5,-72.5,Panoan,Pano-Tacanan,Lexicon
amk,Amarakaeri,2,Different,-12.5,-70.5,Harakmbet,Harakmbet,Lexicon
amh,Amharic,2,Different,10,38,Semitic,Afro-Asiatic,Lexicon
amu,Amuesha,2,Different,-10.5,-75.41666667,Yanesha',Arawakan,Lexicon
apc,Apache (Chiricahua),2,Different,33.25,-108,Athapaskan,Na-Dene,Lexicon
apj,Apache (Jicarilla),2,Different,36.58333333,-104,Athapaskan,Na-Dene,Lexicon
apw,Apache (Western),1,Identical,33.75,-110,Athapaskan,Na-Dene,Lexicon
api,Apinayé,2,Different,-5.5,-48,Je Setentrional,Macro-Ge,Lexicon
amr,Arabic (Moroccan),2,Different,34,-6,Semitic,Afro-Asiatic,Lexicon
akr,Arikara,2,Different,45.5,-100.5,Northern Caddoan,Caddoan,Lexicon
arw,Armenian (Western),2,Different,38.5,43.5,Armenian,Indo-European,Lexicon
aro,Arosi,2,Different,-10.25,161.3333333,Oceanic,Austronesian,Lexicon
amp,Arrernte (Mparntwe),1,Identical,-24,136,Central Pama-Nyungan,Pama-Nyungan,Lexicon
atk,Atakapa,1,Identical,30,-93.5,Atakapa,Atakapa,Lexicon
ati,Atikamekw,1,Identical,48,-74,Algonquian,Algic,Lexicon
ats,Atsugewi,2,Different,40.75,-121,Atsugewi,Hokan,Lexicon
awa,Awa,2,Different,-6.666666667,145.75,Gauwa,Trans-New Guinea,Lexicon
awp,Awa Pit,2,Different,1.5,-78.25,Barbacoan,Barbacoan,Lexicon
aym,Aymara (Central),2,Different,-17,-69,Aymaran,Aymaran,Lexicon
ayo,Ayomán,2,Different,11,-69,Jirajaran,Jirajaran,Lexicon
aze,Azerbaijani,2,Different,40.5,48.5,Turkic,Altaic,Lexicon
blj,Baale,2,Different,6.5,34.5,South Surmic,Eastern Sudanic,Lexicon
bab,Babungo,2,Different,6.116666667,10.41666667,Wide Grassfields,Niger-Congo,Lexicon
bgr,Bagiro,2,Different,4.333333333,20.58333333,Bongo-Bagirmi,Central Sudanic,Lexicon
bpb,Bahnar,2,Different,13.83333333,108.3333333,Bahnaric,Austro-Asiatic,Lexicon
bam,Bambara,2,Different,12.5,-7.5,Western Mande,Mande,Lexicon
bnj,Bandjalang,1,Identical,-28.75,153,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
bca,Bandjalang (Casino),2,Different,-28.91666667,153,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
bwa,Bandjalang (Waalubal),1,Identical,-29.08333333,152.5833333,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
byu,Bandjalang (Yugumbir),1,Identical,-27.91666667,153,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
bnv,Baniva,2,Different,5.26,-67.56,Alto-Orinoco,Arawakan,Lexicon
brs,Barasano,2,Different,-0.166666667,-70.66666667,Tucanoan,Tucanoan,Lexicon
bae,Baré,2,Different,1,-67,Japura-Colombia,Arawakan,Lexicon
mti,Barí,2,Different,9,-73,Barí,Chibchan,Lexicon
bsq,Basque,2,Different,43,-3,Basque,Basque,Lexicon
blr,Belorussian,2,Different,54,28,Slavic,Indo-European,Lexicon
bem,Bemba,2,Different,-10,28.25,Bantu,Niger-Congo,Lexicon
bnq,Beng,2,Different,7.833333333,-4.25,Eastern Mande,Mande,Lexicon
beo,Beothuk,1,Identical,48,-57,Beothuk,Beothuk,Lexicon
bkl,Bikol,2,Different,13.33333333,123.5,Greater Central Philippine,Austronesian,Lexicon
blx,Biloxi,2,Different,30.5,-88.66666667,Ohio Valley Siouan,Siouan,Lexicon
bkd,Binukid,2,Different,8.25,124.8333333,Greater Central Philippine,Austronesian,Lexicon
bla,Blackfoot,2,Different,50,-112.6666667,Algonquian,Algic,Lexicon
bok,Boko,2,Different,10.5,3.5,Eastern Mande,Mande,Lexicon
btk,Bontok,2,Different,17.08333333,120.9166667,Northern Luzon,Austronesian,Lexicon
bor,Bora,2,Different,-2.166666667,-72.33333333,Boran,Boran,Lexicon
brc,Boruca,2,Different,8.833333333,-83.25,Western Isthmic Chibchan,Chibchan,Lexicon
bre,Breton,2,Different,48,-3,Celtic,Indo-European,Lexicon
bnb,Bunuba,1,Identical,-17.75,125.75,Bunuban,Bunuban,Lexicon
but,Buriat,2,Different,52,108,Mongolic,Altaic,Lexicon
bur,Burushaski,2,Different,36.5,74.5,Burushaski,Burushaski,Lexicon
cab,Cabécar,2,Different,9.75,-83.41666667,Western Isthmic Chibchan,Chibchan,Lexicon
cac,Cacua,2,Different,1.083333333,-70,Cacua-Nukak,Cacua-Nukak,Lexicon
cah,Cahuilla,1,Identical,33.5,-116.25,Northern Uto-Aztecan,Uto-Aztecan,Lexicon
cak,Cakchiquel,2,Different,14.5,-91,Mayan,Mayan,Lexicon
cax,Campa (Axininca),2,Different,-12,-74,Pre-Andine Arawakan,Arawakan,Lexicon
cpa,Campa Pajonal Asheninca,2,Different,-10.66666667,-74.25,Pre-Andine Arawakan,Arawakan,Lexicon
cam,Camsá,2,Different,1.166666667,-77,Camsá,Camsá,Lexicon
cnl,Canela,2,Different,-7,-45,Je Setentrional,Macro-Ge,Lexicon
cnt,Cantonese,2,Different,23,113,Chinese,Sino-Tibetan,Lexicon
cap,Capanahua,2,Different,-7,-74,Panoan,Pano-Tacanan,Lexicon
crp,Carapana,2,Different,0.833333333,-70.75,Tucanoan,Tucanoan,Lexicon
car,Carib,2,Different,5.5,-56,Cariban,Cariban,Lexicon
crj,Carijona,1,Identical,1,-73,Cariban,Cariban,Lexicon
crl,Carolinian,2,Different,15.2,145.75,Oceanic,Austronesian,Lexicon
crq,Carrier,2,Different,53.75,-123.5,Athapaskan,Na-Dene,Lexicon
cas,Cashibo,2,Different,-8.5,-75.5,Panoan,Pano-Tacanan,Lexicon
csh,Cashinahua,2,Different,-10.5,-71.83333333,Panoan,Pano-Tacanan,Lexicon
ctl,Catalan,2,Different,41.75,2,Romance,Indo-European,Lexicon
ctw,Catawba,2,Different,35.5,-80.5,Catawban,Siouan,Lexicon
cat,Catio,2,Different,7.166666667,-76.33333333,Choco,Choco,Lexicon
cav,Cavineña,2,Different,-13.33333333,-66.5,Tacanan,Pano-Tacanan,Lexicon
cay,Cayapa,2,Different,0.666666667,-79,Barbacoan,Barbacoan,Lexicon
ceb,Cebuano,2,Different,10,124,Greater Central Philippine,Austronesian,Lexicon
cai,Chai,2,Different,5.333333333,35.33333333,South Surmic,Eastern Sudanic,Lexicon
